House Name,House Price,House Location,House Info,House Link
4marla,"9,000,000","Bhogiwal Road, Lahore•",424 Marla,https://www.olx.com.pk/item/4marla-iid-1095097930
3 Years Installment Plan Luxury Brand New House In Park View City Lahore,"32,976,000","Park View Villas, Lahore•",5610 Marla,https://www.olx.com.pk/item/3-years-installment-plan-luxury-brand-new-house-in-park-view-city-lahore-iid-1100810661
10 Marla Double Unit House Available. For Sale in Faisal Town F-18 Block A Islamabad.,"53,500,000","Faisal Town Phase 1 - Block A, Islamabad•",6+7+10 Marla,https://www.olx.com.pk/item/10-marla-double-unit-house-available-for-sale-in-faisal-town-f-18-block-a-islamabad-iid-1100778376
ALMOST 7 MARLA UNIQUE DESIGNER HOUSE FOR SALE,"25,000,000","Bahria Town Phase 8 - Safari Valley, Rawalpindi•",457 Marla,https://www.olx.com.pk/item/almost-7-marla-unique-designer-house-for-sale-iid-1099934730
6 Marla 30-50 Size Triple Story House For Sale In Gulraiz Near Bahria Town,"19,000,000","Gulraiz Housing Society Phase 2, Rawalpindi•",57+6 Marla,https://www.olx.com.pk/item/6-marla-30-50-size-triple-story-house-for-sale-in-gulraiz-near-bahria-town-iid-1100669891
"Triple Story 3 Marla Facing Park House for Sale in Etihad Town Prime Location, Great Investment Block A","21,000,000","Etihad Town Phase 1 - Block A, Lahore•",343 Marla,https://www.olx.com.pk/item/triple-story-3-marla-facing-park-house-for-sale-in-etihad-town-prime-location-great-investment-block-a-iid-1100666647
10 Marla Semi Commercial House For Sale,"73,000,000","Airline Housing Society, Lahore•",5510 Marla,https://www.olx.com.pk/item/10-marla-semi-commercial-house-for-sale-iid-1100664497
Dam View Luxury Brand New 30*60 House In D-17,"26,000,000","D-17, Islamabad•",568 Marla,https://www.olx.com.pk/item/dam-view-luxury-brand-new-3060-house-in-d-17-iid-1100284910
"Beautiful 7 Marla Pine Villas Phase 3 , Double Unit In D-17","23,800,000","D-17, Islamabad•",557 Marla,https://www.olx.com.pk/item/beautiful-7-marla-pine-villas-phase-3-double-unit-in-d-17-iid-1100284893
35*70 Brand New Elegant House In D-17 For Sale,"30,000,000","D-17, Islamabad•",5510 Marla,https://www.olx.com.pk/item/3570-brand-new-elegant-house-in-d-17-for-sale-iid-1100284888
Brand New 30*70 Elegant Design House In D-17,"29,900,000","D-17, Islamabad•",569 Marla,https://www.olx.com.pk/item/brand-new-3070-elegant-design-house-in-d-17-iid-1100284885
35*70 Newly Constructed Beautiful House With 10 KW Solar System For Sale,"32,500,000","D-17, Islamabad•",6+610 Marla,https://www.olx.com.pk/item/3570-newly-constructed-beautiful-house-with-10-kw-solar-system-for-sale-iid-1100136219
"30*70 Like Brand New , Sun Face House For Sale In D-17","31,000,000","D-17, Islamabad•",6+7+9 Marla,https://www.olx.com.pk/item/3070-like-brand-new-sun-face-house-for-sale-in-d-17-iid-1100821960
5 Marla Green Villa In D-17 With Margalla. View.,"17,500,000","D-17, Islamabad•","331,250 SQFT",https://www.olx.com.pk/item/5-marla-green-villa-in-d-17-with-margalla-view-iid-1100284873
"Paradise mansion 3.5 Marla D-17 , Full house for sale","11,800,000","D-17, Islamabad•",333 Marla,https://www.olx.com.pk/item/paradise-mansion-35-marla-d-17-full-house-for-sale-iid-1100284863
35 Marla Corner Meadows Villa For sale,"127,000,000","Bahria Town - Meadows Villas, Lahore•",47+35 Marla,https://www.olx.com.pk/item/35-marla-corner-meadows-villa-for-sale-iid-1100882626
Spacious 181 Square Yards Penthouse Available For Sale In Shahra-E-Faisal,"10,000,000","Shahra-e-Faisal, Karachi•",23181 SQYD,https://www.olx.com.pk/item/spacious-181-square-yards-penthouse-available-for-sale-in-shahra-e-faisal-iid-1100692079
House Sale In Model Colony Street 25,"22,000,000","Model Colony - Malir, Karachi•",6+6120 SQYD,https://www.olx.com.pk/item/house-sale-in-model-colony-street-25-iid-1100692072
House For Sale Bostan E Raza Near Malir Halt Airport,"18,500,000","Airport Road, Karachi•",45120 SQYD,https://www.olx.com.pk/item/house-for-sale-bostan-e-raza-near-malir-halt-airport-iid-1100692067
House Sale Model Colony 80 Sqyd Liaquat Avenue,"12,000,000","Model Colony - Malir, Karachi•",2280 SQYD,https://www.olx.com.pk/item/house-sale-model-colony-80-sqyd-liaquat-avenue-iid-1100691859
Brand New 10 Marla Beautiful & Lavish House for Sale,"59,000,000","Canal Road, Faisalabad•",4610 Marla,https://www.olx.com.pk/item/brand-new-10-marla-beautiful-lavish-house-for-sale-iid-1100097262
"35x70 Double Story House for Sale At C Block , B17","48,000,000","MPCHS - Block C, Islamabad•",6+610 Marla,https://www.olx.com.pk/item/35x70-double-story-house-for-sale-at-c-block-b17-iid-1099992422
Buy A Centrally Located Prime Location 2 Marla House In Warsak Road,"6,500,000","Warsak Road, Peshawar•",332 Marla,https://www.olx.com.pk/item/buy-a-centrally-located-prime-location-2-marla-house-in-warsak-road-iid-1100711697
10 Marla Brand New House For Sale,"39,000,000","Bahria Town Phase 8 - Block L, Rawalpindi•",5610 Marla,https://www.olx.com.pk/item/10-marla-brand-new-house-for-sale-iid-1099997408
For sale,"14,500,000","Nawababad, Wah•",6+510 Marla,https://www.olx.com.pk/item/for-sale-iid-1100857617
Fully furnished original pics Ali block villa park wali street brand new for sale Bahria town Karachi,"16,900,000","Bahria Town - Ali Block, Karachi•",34125 SQYD,https://www.olx.com.pk/item/fully-furnished-original-pics-ali-block-villa-park-wali-street-brand-new-for-sale-bahria-town-karachi-iid-1100795419
5 Marla Luxury Modern Brand New A Plus Solid Constructed House For Sale And Direct Meeting With Owner In Park View City Lahore.,"22,500,000","Park View City - Jade Extension Block, Lahore•",455 Marla,https://www.olx.com.pk/item/5-marla-luxury-modern-brand-new-a-plus-solid-constructed-house-for-sale-and-direct-meeting-with-owner-in-park-view-city-lahore-iid-1100296797
9.5 Marla Safari Home Luxury House Available For Sale,"38,000,000","Bahria Safari Valley - Sector B, Rawalpindi•",569 Marla,https://www.olx.com.pk/item/95-marla-safari-home-luxury-house-available-for-sale-iid-1100207167
3 Years Installment Plan Luxury Designer House In Park View City Lahore,"31,500,000","Park View Villas, Lahore•",5610 Marla,https://www.olx.com.pk/item/3-years-installment-plan-luxury-designer-house-in-park-view-city-lahore-iid-1100247329
Rental Income Property For Sale Al Falah Society Near RAF E Aam Society,"19,000,000","Al Falah Society, Karachi•",6+6120 SQYD,https://www.olx.com.pk/item/rental-income-property-for-sale-al-falah-society-near-raf-e-aam-society-iid-1100691853
House For Sale Tariq Bin Ziyad Housing Society,"28,000,000","Tariq Bin Ziyad Housing Society, Karachi•",45120 SQYD,https://www.olx.com.pk/item/house-for-sale-tariq-bin-ziyad-housing-society-iid-1100048013
Penthouse For Sale With Roof Shamsi Society,"6,500,000","Shamsi Society, Karachi•",22100 SQYD,https://www.olx.com.pk/item/penthouse-for-sale-with-roof-shamsi-society-iid-1100692062
House Sale Airport Khosa Goth Malir Halt,"8,500,000","Airport Road, Karachi•",23120 SQYD,https://www.olx.com.pk/item/house-sale-airport-khosa-goth-malir-halt-iid-1100692059
House For Sale 215 Sq Yard Ground Plus 2 Railway Housing Society Near Airport,"33,000,000","Airport Road, Karachi•",6+7+215 SQYD,https://www.olx.com.pk/item/house-for-sale-215-sq-yard-ground-plus-2-railway-housing-society-near-airport-iid-1100691842
PentHouse For Sale Tariq Bin Ziyad Housing Society Airport,"7,500,000","Tariq Bin Ziyad Housing Society, Karachi•",Studio1120 SQYD,https://www.olx.com.pk/item/penthouse-for-sale-tariq-bin-ziyad-housing-society-airport-iid-1100691837
House For Sale Model Colony 100 Sqyd,"21,500,000","Model Colony - Malir, Karachi•",44100 SQYD,https://www.olx.com.pk/item/house-for-sale-model-colony-100-sqyd-iid-1100366315
House For Sale in Pakistan Railway Housing Society Airport road Malir Halt,"40,000,000","Airport Road, Karachi•",6+6240 SQYD,https://www.olx.com.pk/item/house-for-sale-in-pakistan-railway-housing-society-airport-road-malir-halt-iid-1100160440
House For Sale 133 Sqyd Model Colony Near Saeed Super Store,"22,500,000","Model Colony - Malir, Karachi•",44133 SQYD,https://www.olx.com.pk/item/house-for-sale-133-sqyd-model-colony-near-saeed-super-store-iid-1100048003
Banglow For Sale *Code(13483)*,"75,000,000","Gulshan-e-Iqbal - Block 10-A, Karachi•",6+6240 SQYD,https://www.olx.com.pk/item/banglow-for-sale-code13483-iid-1100882450
House for Sale Airport Khosa Goth 120 Yads Near Malir Halt,"12,000,000","Airport Road, Karachi•",44120 SQYD,https://www.olx.com.pk/item/house-for-sale-airport-khosa-goth-120-yads-near-malir-halt-iid-1100691823
House Sale Airport Khosa Goth Near Malir Halt,"16,000,000","Airport Road, Karachi•",34180 SQYD,https://www.olx.com.pk/item/house-sale-airport-khosa-goth-near-malir-halt-iid-1100691818
House For Sale Model Colony Sheet 22,"28,500,000","Model Colony - Malir, Karachi•",46120 SQYD,https://www.olx.com.pk/item/house-for-sale-model-colony-sheet-22-iid-1100427362
House For Sale Boston E Raza Near Airport Malir Halt,"22,500,000","Airport Road, Karachi•",45120 SQYD,https://www.olx.com.pk/item/house-for-sale-boston-e-raza-near-airport-malir-halt-iid-1100048021
Good Location Single Storey Used House For Sale,"8,500,000","Naz Town, Lahore•",335 Marla,https://www.olx.com.pk/item/good-location-single-storey-used-house-for-sale-iid-1099176828
600 Sq/Yd Corner Bungalow,"51,000,000","Mehran University Employees Cooperative Housing Society, Jamshoro•",6+6600 SQYD,https://www.olx.com.pk/item/600-sqyd-corner-bungalow-iid-1099281243
ALERT - DIRECT OWNER PROPOERTY 10 MARLA USED RENOVATED HOUSE,"35,000,000","Bahria Town - Tulip Block, Lahore•",5410 Marla,https://www.olx.com.pk/item/alert-direct-owner-propoerty-10-marla-used-renovated-house-iid-1100362283
4 marla house for sale in wah Valley,"4,800,000","Wah, Punjab•",224 Marla,https://www.olx.com.pk/item/4-marla-house-for-sale-in-wah-valley-iid-1100806893
Brand New House in Bahria Enlcave Sector A 10 Marla Available For Sale in Prime Location. Reasonable Demand.,"59,850,000","Bahria Enclave - Sector A, Islamabad•",5610 Marla,https://www.olx.com.pk/item/brand-new-house-in-bahria-enlcave-sector-a-10-marla-available-for-sale-in-prime-location-reasonable-demand-iid-1100021827
Brand New House For Sale,"43,000,000","D-12, Islamabad•",444 Marla,https://www.olx.com.pk/item/brand-new-house-for-sale-iid-1099278264
2 Kanal Farm House For Sale Opposite Top City,"95,000,000","Top City 1, Islamabad•",6+7+2 Kanal,https://www.olx.com.pk/item/2-kanal-farm-house-for-sale-opposite-top-city-iid-1099956431
3 Years Installment Plan Luxury Brand New House In Dha Phase 8,"49,986,000","DHA Phase 8, Lahore•",5610 Marla,https://www.olx.com.pk/item/3-years-installment-plan-luxury-brand-new-house-in-dha-phase-8-iid-1100246554
"3 ACRE DEVELOPED CORNER FARM HOUSE BAILYPUR,PARALLEL TO SMALL BUSINESS CORPURATION SUNDAR ROAD LAHORE.","144,000,000","Sundar Road, Lahore•",3324 Kanal,https://www.olx.com.pk/item/3-acre-developed-corner-farm-house-bailypurparallel-to-small-business-corpuration-sundar-road-lahore-iid-1100000370
House For Sale Model Colony Sheet 18,"18,500,000","Model Colony - Malir, Karachi•",44108 SQYD,https://www.olx.com.pk/item/house-for-sale-model-colony-sheet-18-iid-1100048018
